"site","date","time","n_detections_per_site_date_time","source","sp","latitude","longitude"
"site-e",2023-07-01,17:00:00,2,"recogniser","pig",-17.98868,145.31088
"site-e",2023-07-23,16:00:00,1,"recogniser","pig",-17.98868,145.31088
"site-e",2023-08-18,18:00:00,61,"recogniser","pig",-17.98868,145.31088
"site-h",2023-08-20,18:00:00,1,"recogniser","pig",-17.96859,145.29715
"site-d",2023-09-01,20:00:00,1,"recogniser","pig",-17.96021,145.46506
"site-a",2023-09-04,15:14:26,1,"recogniser","pig",-17.9636,145.4005
"site-a",2023-09-04,16:00:00,1,"recogniser","pig",-17.9636,145.4005
"site-d",2023-09-04,18:00:00,1,"recogniser","pig",-17.96021,145.46506
"site-d",2023-09-06,18:00:00,1,"recogniser","pig",-17.96021,145.46506
"site-e",2023-09-25,19:00:00,1,"recogniser","pig",-17.98868,145.31088
"site-e",2023-09-26,07:00:00,3,"recogniser","pig",-17.98868,145.31088
"site-e",2023-09-26,08:00:00,16,"recogniser","pig",-17.98868,145.31088
"site-e",2023-09-26,09:00:00,2,"recogniser","pig",-17.98868,145.31088
"site-e",2023-09-26,10:00:00,1,"recogniser","pig",-17.98868,145.31088
"site-d",2023-09-30,19:00:00,2,"recogniser","pig",-17.96021,145.46506
"site-i",2023-10-05,07:00:00,1,"recogniser","pig",-17.95153,145.26612
"site-e",2023-10-07,19:00:00,1,"recogniser","pig",-17.98868,145.31088
"site-i",2023-10-11,00:00:00,80,"recogniser","pig",-17.95153,145.26612
"site-i",2023-10-11,01:00:00,2,"recogniser","pig",-17.95153,145.26612
"site-a",2023-10-15,23:00:00,10,"recogniser","pig",-17.9636,145.4005
"site-a",2023-10-16,00:00:00,7,"recogniser","pig",-17.9636,145.4005
"site-a",2023-10-16,01:00:00,25,"recogniser","pig",-17.9636,145.4005
"site-a",2023-10-16,02:00:00,61,"recogniser","pig",-17.9636,145.4005
"site-a",2023-10-18,04:00:00,1,"recogniser","pig",-17.9636,145.4005
"site-a",2023-10-19,03:00:00,2,"recogniser","pig",-17.9636,145.4005
"site-a",2023-10-19,19:00:00,17,"recogniser","pig",-17.9636,145.4005
"site-a",2023-10-19,20:00:00,195,"recogniser","pig",-17.9636,145.4005
"site-a",2023-10-24,23:00:00,1,"recogniser","pig",-17.9636,145.4005
"site-a",2023-10-25,18:00:00,1,"recogniser","pig",-17.9636,145.4005
"site-d",2023-10-27,19:00:00,6,"recogniser","pig",-17.96021,145.46506
"site-d",2023-10-28,05:00:00,1,"recogniser","pig",-17.96021,145.46506
"site-d",2023-10-29,07:00:00,1,"recogniser","pig",-17.96021,145.46506
"site-a",2023-11-02,04:00:00,1,"recogniser","pig",-17.9636,145.4005
"site-i",2023-11-06,10:00:00,1,"recogniser","pig",-17.95153,145.26612
"site-a",2023-11-06,23:00:00,1,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-08,02:00:00,1,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-08,14:00:00,1,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-11,03:00:00,18,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-11,04:00:00,1,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-11,21:00:00,2,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-12,01:00:00,9,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-12,03:00:00,8,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-12,22:00:00,18,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-14,03:00:00,8,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-14,06:00:00,23,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-14,07:00:00,1,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-15,02:00:00,1,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-16,00:00:00,2,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-16,01:00:00,2,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-16,02:00:00,1,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-16,03:00:00,24,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-16,04:00:00,2,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-17,03:00:00,6,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-17,23:00:00,11,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-18,04:00:00,18,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-20,01:00:00,3,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-20,02:00:00,12,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-20,04:00:00,1,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-21,23:00:00,9,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-22,02:00:00,51,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-22,03:00:00,65,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-22,05:00:00,2,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-22,06:00:00,1,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-22,22:00:00,2,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-23,04:00:00,18,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-23,05:00:00,20,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-23,06:00:00,31,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-23,23:00:00,7,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-24,00:00:00,16,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-24,01:00:00,8,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-24,02:00:00,14,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-24,03:00:00,4,"recogniser","pig",-17.9636,145.4005
"site-a",2023-11-24,21:00:00,2,"recogniser","pig",-17.9636,145.4005
"site-h",2023-11-26,07:00:00,1,"recogniser","pig",-17.96859,145.29715
"site-a",2023-11-28,01:00:00,2,"recogniser","pig",-17.9636,145.4005
"site-i",2023-12-01,02:00:00,1,"recogniser","pig",-17.95153,145.26612
"site-d",2023-12-03,05:00:00,30,"recogniser","pig",-17.96021,145.46506
"site-d",2023-12-03,06:00:00,7,"recogniser","pig",-17.96021,145.46506
"site-b2",2023-12-09,21:00:00,1,"recogniser","pig",-17.94379,145.39441
"site-c",2023-12-12,06:00:00,1,"recogniser","pig",-17.93941,145.43806
"site-i",2023-12-16,06:00:00,1,"recogniser","pig",-17.95153,145.26612
"site-d",2024-02-07,15:00:00,1,"recogniser","pig",-17.96021,145.46506
"site-e",2024-02-25,17:00:00,1,"recogniser","pig",-17.98868,145.31088
"site-c",2024-03-07,17:00:00,6,"recogniser","pig",-17.93941,145.43806
"site-b2",2024-03-12,05:00:00,14,"recogniser","pig",-17.94379,145.39441
"site-i",2024-03-17,17:00:00,1,"recogniser","pig",-17.95153,145.26612
"site-e",2024-03-18,18:00:00,12,"recogniser","pig",-17.98868,145.31088
"site-c",2024-03-20,13:00:00,1,"recogniser","pig",-17.93941,145.43806
"site-c",2024-03-29,11:00:00,2,"recogniser","pig",-17.93941,145.43806
"site-i",2024-04-01,12:00:00,2,"recogniser","pig",-17.95153,145.26612
"site-e",2024-04-01,18:00:00,2,"recogniser","pig",-17.98868,145.31088
"site-c",2024-04-25,16:00:00,10,"recogniser","pig",-17.93941,145.43806
"site-h",2024-05-11,12:00:00,6,"recogniser","pig",-17.96859,145.29715
"site-e",2024-05-17,15:00:00,1,"recogniser","pig",-17.98868,145.31088
"site-e",2024-05-17,16:00:00,7,"recogniser","pig",-17.98868,145.31088
"site-e",2024-05-19,12:00:00,1,"recogniser","pig",-17.98868,145.31088
"site-e",2024-05-19,13:00:00,23,"recogniser","pig",-17.98868,145.31088
"site-b2",2024-05-19,15:00:00,2,"recogniser","pig",-17.94379,145.39441
"site-b2",2024-06-01,07:00:00,1,"recogniser","pig",-17.94379,145.39441
"site-b2",2024-06-01,08:00:00,1,"recogniser","pig",-17.94379,145.39441
"site-g",2024-06-02,15:00:00,1,"recogniser","pig",-17.95664,145.29247
"site-b2",2024-06-04,07:00:00,1,"recogniser","pig",-17.94379,145.39441
"site-d",2024-06-04,08:00:00,1,"recogniser","pig",-17.96021,145.46506
"site-b2",2024-06-04,09:00:00,2,"recogniser","pig",-17.94379,145.39441
"site-b2",2024-06-06,16:00:00,5,"recogniser","pig",-17.94379,145.39441
"site-b2",2024-06-07,02:00:00,1,"recogniser","pig",-17.94379,145.39441
"site-b2",2024-06-07,06:00:00,3,"recogniser","pig",-17.94379,145.39441
"site-b2",2024-06-07,07:00:00,1,"recogniser","pig",-17.94379,145.39441
"site-b2",2024-06-07,08:00:00,7,"recogniser","pig",-17.94379,145.39441
"site-b2",2024-06-07,09:00:00,1,"recogniser","pig",-17.94379,145.39441
"site-f",2023-09-08,07:00:00,40,"ct","pig",-17.94543,145.32566
"site-i",2023-10-11,12:00:00,100,"ct","pig",-17.95153,145.26612
"site-a",2023-11-16,03:00:00,25,"ct","pig",-17.9636,145.4005
"site-a",2023-11-19,08:00:00,5,"ct","pig",-17.9636,145.4005
"site-f",2023-11-26,06:00:00,10,"ct","pig",-17.94543,145.32566
"site-d",2023-12-03,07:00:00,10,"ct","pig",-17.96021,145.46506
"site-b",2024-01-04,08:03:00,25,"ct","pig",-17.94381,145.39683
"site-b",2024-01-07,12:51:00,15,"ct","pig",-17.94381,145.39683
"site-b",2024-01-13,10:18:00,10,"ct","pig",-17.94381,145.39683
"site-b",2024-01-27,08:33:00,10,"ct","pig",-17.94381,145.39683
"site-b",2024-06-12,10:13:00,5,"ct","pig",-17.94381,145.39683
"site-b",2024-06-13,07:56:00,35,"ct","pig",-17.94381,145.39683
"site-d",2024-02-07,03:06:00,10,"ct","pig",-17.96021,145.46506
"site-d",2024-02-08,03:20:00,20,"ct","pig",-17.96021,145.46506
"site-d",2024-02-27,10:06:00,15,"ct","pig",-17.96021,145.46506
"site-d",2024-03-02,04:45:00,45,"ct","pig",-17.96021,145.46506
"site-d",2024-03-13,06:07:00,15,"ct","pig",-17.96021,145.46506
"site-d",2024-03-17,09:33:00,15,"ct","pig",-17.96021,145.46506
"site-d",2024-03-30,04:00:00,45,"ct","pig",-17.96021,145.46506
"site-d",2024-03-31,07:30:00,105,"ct","pig",-17.96021,145.46506
"site-d",2024-06-24,12:47:00,5,"ct","pig",-17.96021,145.46506
"site-d",2024-07-27,05:33:00,10,"ct","pig",-17.96021,145.46506
"site-e",2024-02-25,05:56:00,70,"ct","pig",-17.98868,145.31088
"site-e",2024-03-18,05:52:00,35,"ct","pig",-17.98868,145.31088
"site-e",2024-03-18,06:35:00,15,"ct","pig",-17.98868,145.31088
"site-e",2024-04-19,08:52:00,15,"ct","pig",-17.98868,145.31088
"site-e",2024-05-17,03:41:00,25,"ct","pig",-17.98868,145.31088
"site-e",2024-05-19,12:59:00,55,"ct","pig",-17.98868,145.31088
"site-e",2024-07-08,10:59:00,70,"ct","pig",-17.98868,145.31088
"site-g",2024-01-08,09:07:00,5,"ct","pig",-17.95664,145.29247
"site-g",2024-05-08,08:45:00,20,"ct","pig",-17.95664,145.29247
"site-h",2024-05-26,07:26:00,25,"ct","pig",-17.96859,145.29715
"site-i",2024-02-25,05:06:00,55,"ct","pig",-17.95153,145.26612
"site-i",2024-03-12,12:14:00,20,"ct","pig",-17.95153,145.26612
"site-i",2024-05-22,04:05:00,10,"ct","pig",-17.95153,145.26612
"site-i",2024-07-08,09:13:00,10,"ct","pig",-17.95153,145.26612
"site-i",2024-07-17,07:02:00,5,"ct","pig",-17.95153,145.26612
"site-i",2024-07-30,02:20:00,10,"ct","pig",-17.95153,145.26612
