"dt","site","n_detections_per_site_date_time","sp","source"
"20230701T170000+1000","site-e",2,"pig","recogniser"
"20230723T160000+1000","site-e",1,"pig","recogniser"
"20230818T180000+1000","site-e",61,"pig","recogniser"
"20230820T180000+1000","site-h",1,"pig","recogniser"
"20230901T200000+1000","site-d",1,"pig","recogniser"
"20230904T151426+1000","site-a",1,"pig","recogniser"
"20230904T160000+1000","site-a",1,"pig","recogniser"
"20230904T180000+1000","site-d",1,"pig","recogniser"
"20230906T180000+1000","site-d",1,"pig","recogniser"
"20230925T190000+1000","site-e",1,"pig","recogniser"
"20230926T070000+1000","site-e",3,"pig","recogniser"
"20230926T080000+1000","site-e",16,"pig","recogniser"
"20230926T090000+1000","site-e",2,"pig","recogniser"
"20230926T100000+1000","site-e",1,"pig","recogniser"
"20230930T190000+1000","site-d",2,"pig","recogniser"
"20231005T070000+1000","site-i",1,"pig","recogniser"
"20231007T190000+1000","site-e",1,"pig","recogniser"
"20231011T000000+1000","site-i",80,"pig","recogniser"
"20231011T010000+1000","site-i",2,"pig","recogniser"
"20231015T230000+1000","site-a",10,"pig","recogniser"
"20231016T000000+1000","site-a",7,"pig","recogniser"
"20231016T010000+1000","site-a",25,"pig","recogniser"
"20231016T020000+1000","site-a",61,"pig","recogniser"
"20231018T040000+1000","site-a",1,"pig","recogniser"
"20231019T030000+1000","site-a",2,"pig","recogniser"
"20231019T190000+1000","site-a",17,"pig","recogniser"
"20231019T200000+1000","site-a",195,"pig","recogniser"
"20231024T230000+1000","site-a",1,"pig","recogniser"
"20231025T180000+1000","site-a",1,"pig","recogniser"
"20231027T190000+1000","site-d",6,"pig","recogniser"
"20231028T050000+1000","site-d",1,"pig","recogniser"
"20231029T070000+1000","site-d",1,"pig","recogniser"
"20231102T040000+1000","site-a",1,"pig","recogniser"
"20231106T100000+1000","site-i",1,"pig","recogniser"
"20231106T230000+1000","site-a",1,"pig","recogniser"
"20231108T020000+1000","site-a",1,"pig","recogniser"
"20231108T140000+1000","site-a",1,"pig","recogniser"
"20231111T030000+1000","site-a",18,"pig","recogniser"
"20231111T040000+1000","site-a",1,"pig","recogniser"
"20231111T210000+1000","site-a",2,"pig","recogniser"
"20231112T010000+1000","site-a",9,"pig","recogniser"
"20231112T030000+1000","site-a",8,"pig","recogniser"
