point,filename,dispname,site,latitude,longitude,comments,feature_ty,origin,function,name,perenniali,hierarchy,drainage_b,stream_ord,dist_water,dist_ephem,name_2,dist_peren,name_3,dist_inter
A,y_site-a_bar,good gully BAR,GoodGully,"-17.963600000000000","145.400499999999994",,Watercourse,Natural,Natural Watercourse,,Intermittent,Minor,Herbert,"2","28.407930239428595","1787.856531686827111",Sunday Creek,"1799.942111707261802",,"28.407930239428595"
B,y_site-b_bar,sunday creek east BAR,SundayCreekE,"-17.943809999999999","145.396829999999994",,Connector,Artificial,Linear Connection,Sunday Creek,Perennial,Minor,Herbert,"5","60.353361330520023","1167.723536630630406",Sunday Creek,"60.353361330520023",,"314.319941828387925"
B2,y_site-b2_bar,sunday creek east BAR-2,SundayCreekE,"-17.943790000000000","145.394409999999993",previously am-b2,Watercourse,Natural,Natural Watercourse,,Intermittent,Minor,Herbert,"1","65.659884709818996","1423.691960047025077",Sunday Creek,"78.113837537885701",,"65.659884709818996"
C,y_site-c_bar,valley billabongs BAR,ValleyBillabongs,"-17.939409999999999","145.438060000000007",,Watercourse,Natural,Natural Watercourse,,Intermittent,Minor,Herbert,"1","165.468619714105188","1055.979222540005139",,"212.718113290156907",,"165.468619714105188"
D,y_site-d_bar,valley road BAR,ValleyRoad,"-17.960210000000000","145.465059999999994",,Watercourse,Natural,Natural Watercourse,,Perennial,Minor,Herbert,"4","65.474359642978584","1150.333450076448798",,"65.474359642978584",,"66.367152165791211"
E,y_site-e_bar,sunday creek south BAR,SundayCreekS,"-17.988679999999999","145.310879999999997",,Watercourse,Natural,Natural Watercourse,Sunday Creek,Perennial,Minor,Herbert,"5","37.637309723577751","442.338625105053723",Sunday Creek,"37.637309723577751",,"72.291748915487517"
F,y_site-f_bar,sunday creek west BAR,SundayCreekW,"-17.945430000000002","145.325659999999999",,Connector,Artificial,Linear Connection,Sunday Creek,Perennial,Minor,Herbert,"5","50.463422388957277","443.909900115342964",Sunday Creek,"50.463422388957277",,"595.107097932807960"
G,y_site-g_bar,basalt creek north BAR,BasaltCreekN,"-17.956640000000000","145.292470000000009",,Watercourse,Natural,Natural Watercourse,Basalt Creek,Intermittent,Minor,Herbert,"4","30.732990346402264","817.012664597139974",Sunday Creek,"2109.079788429981363",Basalt Creek,"30.732990346402264"
H,y_site-h_bar,basalt creek south BAR,BasaltCreekS,"-17.968589999999999","145.297149999999988",,Watercourse,Natural,Natural Watercourse,,Intermittent,Minor,Herbert,"2","27.500960715648816","428.757064482007934",Sunday Creek,"1602.186704680575076",,"27.500960715648816"
I,y_site-i_bar,swamp of death BAR,SwampOfDeath,"-17.951530000000002","145.266120000000001",,Watercourse,Natural,Natural Watercourse,,Intermittent,Minor,Herbert,"1","116.719767078327948","1123.166472703761201",,"1168.717992104557425",,"116.719767078327948"
J,y_site-j_bar,pig trap central BAR,PigTrapC,"-17.937190000000001","145.410249999999991",removed oct,Connector,Artificial,Linear Connection,Sunday Creek,Perennial,Minor,Herbert,"5","226.330869980484067","821.407261599950971",Sunday Creek,"226.330869980484067",,"294.421766273991921"
K,y_site-k_bar,pig trap south BAR,PigTrapS,"-18.017189999999999","145.396379999999994",added oct,Watercourse,Natural,Natural Watercourse,,Ephemeral,Minor,Herbert,"0","167.567007970362084","167.567007970362084",Good Gully,"7373.087921343905691",,"464.666928093594379"
L,y_site-l_bar,power line bar,,"-18.011616000000000","145.516207000000009",Drainage line. Burnt in Sept/Oct,Watercourse,Natural,Natural Watercourse,,Intermittent,Minor,Herbert,"2","11.628840589265563","224.582324876225101",Cameron Creek,"2238.706051636708708",,"11.628840589265563"
