"dispname","site","date.start","date.end","latitude","longitude"
"good gully BAR","site-a","26/06/2023","7/06/2024",-17.9636,145.4005
"sunday creek east BAR","site-b","28/06/2023","2/10/2023",-17.94381,145.39683
"sunday creek east BAR-2","site-b2","2/10/2023","7/06/2024",-17.94379,145.39441
"valley billabongs BAR","site-c","28/06/2023","7/06/2024",-17.93941,145.43806
"valley road BAR","site-d","28/06/2023","9/06/2024",-17.96021,145.46506
"sunday creek south BAR","site-e","27/06/2023","8/06/2024",-17.98868,145.31088
"sunday creek west BAR","site-f","27/06/2023","8/06/2024",-17.94543,145.32566
"basalt creek north BAR","site-g","27/06/2023","8/06/2024",-17.95664,145.29247
"basalt creek south BAR","site-h","27/06/2023","8/06/2024",-17.96859,145.29715
"swamp of death BAR","site-i","28/06/2023","7/04/2024",-17.95153,145.26612
