"site","date","time","n_detections_per_site_date_time","source","sp","lat","long"
"varied",2024-01-05,04:00:00,1,"feral-pig-take-sheet","pig",-17.95,145.29
"varied",2024-05-03,06:00:00,1,"feral-pig-take-sheet","pig",-17.91,145.39
"varied",2024-05-16,05:30:00,1,"feral-pig-take-sheet","pig",-18.02,145.53
"varied",2024-05-17,05:00:00,0,"feral-pig-take-sheet","pig",-17.97,145.25
"varied",2023-07-28,07:00:00,1,"feral-pig-take-sheet","pig",-17.99,145.45
"varied",2023-08-05,09:00:00,1,"feral-pig-take-sheet","pig",-17.95,145.27
"varied",2023-08-08,NA,1,"feral-pig-take-sheet","pig",-17.98,145.44
"varied",2023-08-12,08:00:00,1,"feral-pig-take-sheet","pig",-17.98,145.44
"varied",2023-08-20,NA,1,"feral-pig-take-sheet","pig",-17.92,145.44
"varied",2023-08-25,NA,1,"feral-pig-take-sheet","pig",-17.98,145.44
"varied",2023-10-05,01:00:00,1,"feral-pig-take-sheet","pig",-18.03,145.49
"varied",2024-06-04,03:00:00,1,"feral-pig-take-sheet","pig",-17.99,145.45
"varied",2023-06-26,01:00:00,1,"feral-pig-take-sheet","pig",-18.01,145.37
"varied",2023-06-27,08:00:00,1,"feral-pig-take-sheet","pig",-17.99,145.45
"varied",2023-06-27,10:00:00,2,"feral-pig-take-sheet","pig",-17.93,145.42
"varied",2023-07-03,04:00:00,1,"feral-pig-take-sheet","pig",-17.95,145.26
"varied",2023-07-03,04:00:00,1,"feral-pig-take-sheet","pig",-17.99,145.45
"varied",2023-07-04,09:00:00,1,"feral-pig-take-sheet","pig",-17.94,145.3
"varied",2023-07-13,01:00:00,6,"feral-pig-take-sheet","pig",-17.95,145.39
"varied",2023-07-15,09:00:00,1,"feral-pig-take-sheet","pig",-17.96,145.29
"varied",2023-07-17,07:30:00,0,"feral-pig-take-sheet","pig",-17.95,145.27
"varied",2023-07-17,08:00:00,0,"feral-pig-take-sheet","pig",-17.95,145.31
"varied",2023-07-26,09:00:00,0,"feral-pig-take-sheet","pig",-17.95,145.49
"varied",2023-07-26,09:30:00,1,"feral-pig-take-sheet","pig",-17.95,145.5
"varied",2023-07-27,02:00:00,1,"feral-pig-take-sheet","pig",-18.02,145.52
"varied",2023-08-10,05:00:00,2,"feral-pig-take-sheet","pig",-18.02,145.52
"varied",2023-08-13,05:00:00,1,"feral-pig-take-sheet","pig",-17.98,145.44
"varied",2023-08-16,11:00:00,1,"feral-pig-take-sheet","pig",-17.9,145.33
"varied",2023-08-22,10:00:00,1,"feral-pig-take-sheet","pig",-17.97,145.42
"varied",2023-09-05,03:00:00,1,"feral-pig-take-sheet","pig",-18.02,145.54
"varied",2023-09-05,03:30:00,1,"feral-pig-take-sheet","pig",-18.01,145.55
"varied",2023-09-28,04:00:00,2,"feral-pig-take-sheet","pig",-18.03,145.49
"varied",2023-09-28,03:30:00,1,"feral-pig-take-sheet","pig",-18.01,145.55
"varied",2023-09-28,04:30:00,1,"feral-pig-take-sheet","pig",-18.03,145.49
"varied",2023-09-29,05:30:00,1,"feral-pig-take-sheet","pig",-17.95,145.5
"varied",2023-09-29,06:00:00,1,"feral-pig-take-sheet","pig",-17.99,145.45
"varied",2023-10-03,07:00:00,2,"feral-pig-take-sheet","pig",-18.02,145.4
"varied",2023-10-05,07:00:00,7,"feral-pig-take-sheet","pig",-18.02,145.4
"varied",2023-10-09,04:00:00,1,"feral-pig-take-sheet","pig",-18,145.5
"varied",2023-10-16,07:00:00,6,"feral-pig-take-sheet","pig",-17.89,145.33
"varied",2023-10-16,08:00:00,6,"feral-pig-take-sheet","pig",-17.96,145.4
"varied",2023-11-07,04:00:00,7,"feral-pig-take-sheet","pig",-17.99,145.45
