"T.Max","T.Min","Rain","Date","Date2","lat","long","week","year","groups","cumulative_rain","season"
30.7,19.1,0,2023-04-16,"16/04/2023",-17.95,145.3,16,2023,8,4.2,"early_dry"
26.2,19.7,1.9,2023-04-17,"17/04/2023",-17.95,145.3,16,2023,8,4.2,"early_dry"
26.1,19.8,0.9,2023-04-18,"18/04/2023",-17.95,145.3,16,2023,8,4.2,"early_dry"
27,18.7,0.4,2023-04-19,"19/04/2023",-17.95,145.3,16,2023,8,4.2,"early_dry"
27.5,17.6,0.7,2023-04-20,"20/04/2023",-17.95,145.3,16,2023,8,4.2,"early_dry"
27.1,17.2,0.1,2023-04-21,"21/04/2023",-17.95,145.3,16,2023,8,4.2,"early_dry"
27.3,17.6,0.2,2023-04-22,"22/04/2023",-17.95,145.3,16,2023,8,4.2,"early_dry"
26.9,19.9,1.8,2023-04-23,"23/04/2023",-17.95,145.3,17,2023,8,18.8,"early_dry"
26.2,20.1,9.5,2023-04-24,"24/04/2023",-17.95,145.3,17,2023,8,18.8,"early_dry"
25.6,20,3.8,2023-04-25,"25/04/2023",-17.95,145.3,17,2023,8,18.8,"early_dry"
26.7,18.4,1.3,2023-04-26,"26/04/2023",-17.95,145.3,17,2023,8,18.8,"early_dry"
26.3,17.7,0.4,2023-04-27,"27/04/2023",-17.95,145.3,17,2023,8,18.8,"early_dry"
26.6,16.8,1.7,2023-04-28,"28/04/2023",-17.95,145.3,17,2023,8,18.8,"early_dry"
28.4,15.2,0.3,2023-04-29,"29/04/2023",-17.95,145.3,17,2023,8,18.8,"early_dry"
27.8,15.2,0,2023-04-30,"30/04/2023",-17.95,145.3,18,2023,8,0.3,"early_dry"
27.9,16.2,0,2023-05-01,"1/05/2023",-17.95,145.3,18,2023,8,0.3,"early_dry"
28.4,17.9,0.1,2023-05-02,"2/05/2023",-17.95,145.3,18,2023,8,0.3,"early_dry"
26.8,18.5,0.2,2023-05-03,"3/05/2023",-17.95,145.3,18,2023,8,0.3,"early_dry"
26.9,19.1,0,2023-05-04,"4/05/2023",-17.95,145.3,18,2023,8,0.3,"early_dry"
26.6,15.9,0,2023-05-05,"5/05/2023",-17.95,145.3,18,2023,8,0.3,"early_dry"
26.2,16.1,0,2023-05-06,"6/05/2023",-17.95,145.3,18,2023,8,0.3,"early_dry"
27.1,18.2,0.1,2023-05-07,"7/05/2023",-17.95,145.3,19,2023,8,2.8,"early_dry"
26.1,17.6,0.3,2023-05-08,"8/05/2023",-17.95,145.3,19,2023,8,2.8,"early_dry"
23,15.3,0.2,2023-05-09,"9/05/2023",-17.95,145.3,19,2023,8,2.8,"early_dry"
23,9.4,0,2023-05-10,"10/05/2023",-17.95,145.3,19,2023,8,2.8,"early_dry"
25.6,13.9,0.1,2023-05-11,"11/05/2023",-17.95,145.3,19,2023,8,2.8,"early_dry"
25.1,17.9,0.9,2023-05-12,"12/05/2023",-17.95,145.3,19,2023,8,2.8,"early_dry"
25.3,18.1,1.2,2023-05-13,"13/05/2023",-17.95,145.3,19,2023,8,2.8,"early_dry"
26.4,17.3,0.3,2023-05-14,"14/05/2023",-17.95,145.3,20,2023,8,0.7,"early_dry"
27.2,17.3,0,2023-05-15,"15/05/2023",-17.95,145.3,20,2023,8,0.7,"early_dry"
28.5,17.8,0,2023-05-16,"16/05/2023",-17.95,145.3,20,2023,8,0.7,"early_dry"
25.5,17.2,0,2023-05-17,"17/05/2023",-17.95,145.3,20,2023,8,0.7,"early_dry"
24.8,14.9,0.4,2023-05-18,"18/05/2023",-17.95,145.3,20,2023,8,0.7,"early_dry"
24.5,10.9,0,2023-05-19,"19/05/2023",-17.95,145.3,20,2023,8,0.7,"early_dry"
25.4,8.6,0,2023-05-20,"20/05/2023",-17.95,145.3,20,2023,8,0.7,"early_dry"
24.7,11.7,0.1,2023-05-21,"21/05/2023",-17.95,145.3,21,2023,8,1.5,"early_dry"
23.4,12,0,2023-05-22,"22/05/2023",-17.95,145.3,21,2023,8,1.5,"early_dry"
23.2,9.4,0,2023-05-23,"23/05/2023",-17.95,145.3,21,2023,8,1.5,"early_dry"
23.4,14.7,0.7,2023-05-24,"24/05/2023",-17.95,145.3,21,2023,8,1.5,"early_dry"
23.9,14.6,0,2023-05-25,"25/05/2023",-17.95,145.3,21,2023,8,1.5,"early_dry"
25.1,15.2,0.7,2023-05-26,"26/05/2023",-17.95,145.3,21,2023,8,1.5,"early_dry"
25.2,10.2,0,2023-05-27,"27/05/2023",-17.95,145.3,21,2023,8,1.5,"early_dry"
24.3,10.3,1.1,2023-05-28,"28/05/2023",-17.95,145.3,22,2023,8,1.8,"early_dry"
22.7,10.4,0.1,2023-05-29,"29/05/2023",-17.95,145.3,22,2023,8,1.8,"early_dry"
23.1,8.5,0,2023-05-30,"30/05/2023",-17.95,145.3,22,2023,8,1.8,"early_dry"
22.9,10.3,0,2023-05-31,"31/05/2023",-17.95,145.3,22,2023,8,1.8,"early_dry"
25.1,15.8,0.2,2023-06-01,"1/06/2023",-17.95,145.3,22,2023,8,1.8,"early_dry"
24.5,12.7,0,2023-06-02,"2/06/2023",-17.95,145.3,22,2023,8,1.8,"early_dry"
26,15.3,0.4,2023-06-03,"3/06/2023",-17.95,145.3,22,2023,8,1.8,"early_dry"
25.5,17.7,1.6,2023-06-04,"4/06/2023",-17.95,145.3,23,2023,8,3.2,"early_dry"
26.4,17.6,1.2,2023-06-05,"5/06/2023",-17.95,145.3,23,2023,8,3.2,"early_dry"
24.7,17.8,0,2023-06-06,"6/06/2023",-17.95,145.3,23,2023,8,3.2,"early_dry"
25.1,17.4,0.2,2023-06-07,"7/06/2023",-17.95,145.3,23,2023,8,3.2,"early_dry"
25.7,14.9,0.2,2023-06-08,"8/06/2023",-17.95,145.3,23,2023,8,3.2,"early_dry"
25.4,12,0,2023-06-09,"9/06/2023",-17.95,145.3,23,2023,8,3.2,"early_dry"
24.3,12.8,0,2023-06-10,"10/06/2023",-17.95,145.3,23,2023,8,3.2,"early_dry"
24,14.6,0,2023-06-11,"11/06/2023",-17.95,145.3,24,2023,8,1.2,"early_dry"
25.3,15.2,0.7,2023-06-12,"12/06/2023",-17.95,145.3,24,2023,8,1.2,"early_dry"
25.2,15.7,0.2,2023-06-13,"13/06/2023",-17.95,145.3,24,2023,8,1.2,"early_dry"
25,14.8,0.1,2023-06-14,"14/06/2023",-17.95,145.3,24,2023,8,1.2,"early_dry"
26.1,13.8,0.1,2023-06-15,"15/06/2023",-17.95,145.3,24,2023,8,1.2,"early_dry"
25.9,14.1,0.1,2023-06-16,"16/06/2023",-17.95,145.3,24,2023,8,1.2,"early_dry"
23.8,16.1,0,2023-06-17,"17/06/2023",-17.95,145.3,24,2023,8,1.2,"early_dry"
24.3,15,0.1,2023-06-18,"18/06/2023",-17.95,145.3,25,2023,8,0.3,"early_dry"
25.6,12.5,0,2023-06-19,"19/06/2023",-17.95,145.3,25,2023,8,0.3,"early_dry"
26,12.9,0,2023-06-20,"20/06/2023",-17.95,145.3,25,2023,8,0.3,"early_dry"
26.2,14,0,2023-06-21,"21/06/2023",-17.95,145.3,25,2023,8,0.3,"early_dry"
25.1,15.7,0,2023-06-22,"22/06/2023",-17.95,145.3,25,2023,8,0.3,"early_dry"
26.2,14.7,0.2,2023-06-23,"23/06/2023",-17.95,145.3,25,2023,8,0.3,"early_dry"
26.5,12.4,0,2023-06-24,"24/06/2023",-17.95,145.3,25,2023,8,0.3,"early_dry"
26.3,13.9,0,2023-06-25,"25/06/2023",-17.95,145.3,26,2023,8,1,"dry"
26.3,13.9,0.1,2023-06-26,"26/06/2023",-17.95,145.3,26,2023,8,1,"dry"
26.3,13.9,0.1,2023-06-27,"27/06/2023",-17.95,145.3,26,2023,8,1,"dry"
26.7,13.6,0,2023-06-28,"28/06/2023",-17.95,145.3,26,2023,8,1,"dry"
27.4,11.5,0,2023-06-29,"29/06/2023",-17.95,145.3,26,2023,8,1,"dry"
25,12.6,0,2023-06-30,"30/06/2023",-17.95,145.3,26,2023,8,1,"dry"
21.8,15.3,0.8,2023-07-01,"1/07/2023",-17.95,145.3,26,2023,8,1,"dry"
23.8,16.2,1.9,2023-07-02,"2/07/2023",-17.95,145.3,27,2023,8,13.8,"dry"
23.4,16.5,1.3,2023-07-03,"3/07/2023",-17.95,145.3,27,2023,8,13.8,"dry"
23.2,17.9,2,2023-07-04,"4/07/2023",-17.95,145.3,27,2023,8,13.8,"dry"
26.9,18.2,8.2,2023-07-05,"5/07/2023",-17.95,145.3,27,2023,8,13.8,"dry"
28.3,16.2,0.1,2023-07-06,"6/07/2023",-17.95,145.3,27,2023,8,13.8,"dry"
23.7,16.6,0.2,2023-07-07,"7/07/2023",-17.95,145.3,27,2023,8,13.8,"dry"
23.3,14.2,0.1,2023-07-08,"8/07/2023",-17.95,145.3,27,2023,8,13.8,"dry"
23.4,13.3,0,2023-07-09,"9/07/2023",-17.95,145.3,28,2023,8,4.6,"dry"
23.2,11.3,0.1,2023-07-10,"10/07/2023",-17.95,145.3,28,2023,8,4.6,"dry"
23.1,14.9,0,2023-07-11,"11/07/2023",-17.95,145.3,28,2023,8,4.6,"dry"
23.8,14.5,0,2023-07-12,"12/07/2023",-17.95,145.3,28,2023,8,4.6,"dry"
23,15.9,0.8,2023-07-13,"13/07/2023",-17.95,145.3,28,2023,8,4.6,"dry"
23.4,15.9,3.1,2023-07-14,"14/07/2023",-17.95,145.3,28,2023,8,4.6,"dry"
22.9,14.9,0.6,2023-07-15,"15/07/2023",-17.95,145.3,28,2023,8,4.6,"dry"
23.3,14.4,3.1,2023-07-16,"16/07/2023",-17.95,145.3,29,2023,8,5.4,"dry"
23.9,16,2.3,2023-07-17,"17/07/2023",-17.95,145.3,29,2023,8,5.4,"dry"
23.5,16.4,0,2023-07-18,"18/07/2023",-17.95,145.3,29,2023,8,5.4,"dry"
24.4,14.5,0,2023-07-19,"19/07/2023",-17.95,145.3,29,2023,8,5.4,"dry"
24.4,15.4,0,2023-07-20,"20/07/2023",-17.95,145.3,29,2023,8,5.4,"dry"
24.7,14.4,0,2023-07-21,"21/07/2023",-17.95,145.3,29,2023,8,5.4,"dry"
25.5,11.4,0,2023-07-22,"22/07/2023",-17.95,145.3,29,2023,8,5.4,"dry"
24.2,12.4,0,2023-07-23,"23/07/2023",-17.95,145.3,30,2023,8,21.1,"dry"
21.7,9.8,0.2,2023-07-24,"24/07/2023",-17.95,145.3,30,2023,8,21.1,"dry"
20.3,6.5,0,2023-07-25,"25/07/2023",-17.95,145.3,30,2023,8,21.1,"dry"
21.5,12.7,3.4,2023-07-26,"26/07/2023",-17.95,145.3,30,2023,8,21.1,"dry"
22.4,15.8,7.5,2023-07-27,"27/07/2023",-17.95,145.3,30,2023,8,21.1,"dry"
23.6,14.7,9.8,2023-07-28,"28/07/2023",-17.95,145.3,30,2023,8,21.1,"dry"
23.6,13.6,0.2,2023-07-29,"29/07/2023",-17.95,145.3,30,2023,8,21.1,"dry"
23.5,13,0.2,2023-07-30,"30/07/2023",-17.95,145.3,31,2023,8,11.2,"dry"
23,13.4,0,2023-07-31,"31/07/2023",-17.95,145.3,31,2023,8,11.2,"dry"
23.6,13.7,0.1,2023-08-01,"1/08/2023",-17.95,145.3,31,2023,8,11.2,"dry"
