Date,Day,T.Max,Smx,T.Min,Smn,Rain,Srn,Evap,Sev,Radn,Ssl,VP,Svp,RHmaxT,RHminT,Date2,lat,long
20100101,1,29.1,25,20.7,25,16.5,25,4.4,25,22.6,42,25.1,25,62.3,100,1/01/2010,-17.95,145.3
20100102,2,29.4,25,20.5,25,0,25,5.3,25,16.6,42,25.6,25,62.5,100,2/01/2010,-17.95,145.3
20100103,3,30.2,25,20.9,25,2.3,25,6.6,25,25.7,42,26,25,60.6,100,3/01/2010,-17.95,145.3
20100104,4,30.8,25,20,25,0,25,5.4,25,27.5,42,23.6,25,53.1,100,4/01/2010,-17.95,145.3
20100105,5,31.7,25,21,25,0.1,25,5.6,25,26.8,42,23.5,25,50.3,94.5,5/01/2010,-17.95,145.3
20100106,6,30.3,25,20.5,25,0,25,5.2,25,22.5,42,24.6,25,57,100,6/01/2010,-17.95,145.3
20100107,7,31.3,25,20.2,25,0,25,4.9,25,26.5,42,24.4,25,53.4,100,7/01/2010,-17.95,145.3
20100108,8,30.6,25,20.8,25,0,25,5,25,23.8,42,24.8,25,56.5,100,8/01/2010,-17.95,145.3
20100109,9,28.6,25,22,25,0,25,3.7,25,16.6,42,26.1,25,66.7,98.8,9/01/2010,-17.95,145.3
20100110,10,28.6,25,21.1,25,1.3,25,5.7,25,20.1,42,24.1,25,61.6,96.4,10/01/2010,-17.95,145.3
20100111,11,29.7,25,20.3,25,5.2,25,8,25,27.5,42,20.9,25,50.1,87.8,11/01/2010,-17.95,145.3
20100112,12,29.3,25,19.7,25,2.2,25,6,25,23.5,42,23.5,25,57.7,100,12/01/2010,-17.95,145.3
20100113,13,29.3,25,18.5,25,0.7,25,5.8,25,27.4,42,21.9,25,53.7,100,13/01/2010,-17.95,145.3
20100114,14,31,25,17.8,25,0,25,6.2,25,28.7,42,22.1,25,49.2,100,14/01/2010,-17.95,145.3
20100115,15,31.4,25,19.2,25,0,25,7.2,25,27.3,42,22.5,25,49,100,15/01/2010,-17.95,145.3
20100116,16,30.8,25,20.9,25,0,25,5.9,25,25.4,42,25,25,56.3,100,16/01/2010,-17.95,145.3
20100117,17,30.4,25,21.8,25,0,25,4,25,16.3,42,27.1,25,62.4,100,17/01/2010,-17.95,145.3
20100118,18,32.1,25,20.9,25,2.8,25,4.9,25,14.4,42,24.8,25,51.9,100,18/01/2010,-17.95,145.3
20100119,19,31,25,20.2,25,3.4,25,4.1,25,20.5,42,23.4,25,52.1,98.9,19/01/2010,-17.95,145.3
20100120,20,27.6,25,20.5,25,1.8,25,3,25,4.3,42,23.2,25,62.8,96.2,20/01/2010,-17.95,145.3
20100121,21,28.5,25,21.2,25,7.4,25,5,25,10.5,42,25.2,25,64.8,100,21/01/2010,-17.95,145.3
20100122,22,26.2,25,21.3,25,12.7,25,2.1,25,8,42,26,25,76.5,100,22/01/2010,-17.95,145.3
20100123,23,28.2,25,21.3,25,14.5,25,3.7,25,12.7,42,26.8,25,70.1,100,23/01/2010,-17.95,145.3
20100124,24,27.5,25,21.7,25,8.1,25,5.4,25,9.6,42,27.7,25,75.5,100,24/01/2010,-17.95,145.3
20100125,25,26.2,25,22.2,25,26.9,25,3.6,25,10.8,42,27.2,25,80,100,25/01/2010,-17.95,145.3
20100126,26,26.8,25,22.5,25,16.1,25,2.7,25,4.5,42,27.2,25,77.2,99.8,26/01/2010,-17.95,145.3
20100127,27,29.5,25,21.8,25,26.9,25,4.4,25,16.5,42,27.7,25,67.2,100,27/01/2010,-17.95,145.3
20100128,28,28.4,25,21.1,25,52.2,25,6,25,13.2,42,26,25,67.2,100,28/01/2010,-17.95,145.3
20100129,29,25,25,20.8,25,18.3,25,3.4,25,3.6,42,25.9,25,81.8,100,29/01/2010,-17.95,145.3
20100130,30,25.3,25,20.9,25,67.5,25,3.9,25,9.6,42,27.5,25,85.3,100,30/01/2010,-17.95,145.3
20100131,31,29.1,25,21.6,25,8.9,25,3.8,25,11.3,42,25.7,25,63.8,99.7,31/01/2010,-17.95,145.3
20100201,32,30.1,25,20.2,25,1.3,25,5,25,24,42,22.5,25,52.7,95.1,1/02/2010,-17.95,145.3
20100202,33,32.8,25,18.7,25,0,25,6.1,25,25.3,42,23.1,25,46.4,100,2/02/2010,-17.95,145.3
20100203,34,33.1,25,18.7,25,0,25,5.8,25,27.9,42,24.9,25,49.2,100,3/02/2010,-17.95,145.3
20100204,35,33.3,25,20,25,0,25,6.6,25,29.3,42,25.1,25,49.1,100,4/02/2010,-17.95,145.3
20100205,36,33.3,25,21.8,25,0,25,7.8,25,24.2,42,27.1,25,53,100,5/02/2010,-17.95,145.3
20100206,37,31.6,25,20.5,25,20,25,4.4,25,29.9,42,27.6,25,59.4,100,6/02/2010,-17.95,145.3
20100207,38,31.8,25,20.7,25,0,25,6.9,25,25.2,42,26.7,25,56.8,100,7/02/2010,-17.95,145.3
20100208,39,30.2,25,21.9,25,4.3,25,4.9,25,18.2,42,25.6,25,59.7,97.5,8/02/2010,-17.95,145.3
20100209,40,28.7,25,19.9,25,0.1,25,4.4,25,15.3,42,26.5,25,67.3,100,9/02/2010,-17.95,145.3
20100210,41,29.3,25,19.8,25,6.4,25,4.8,25,19.3,42,26,25,63.8,100,10/02/2010,-17.95,145.3
20100211,42,29.3,25,20.4,25,1.2,25,4.4,25,23.3,42,24.9,25,61.1,100,11/02/2010,-17.95,145.3
20100212,43,29.8,25,20.3,25,3.9,25,5.5,25,23.9,42,25.7,25,61.3,100,12/02/2010,-17.95,145.3
20100213,44,30,25,20.2,25,17.8,25,4.5,25,21.9,42,25.2,25,59.4,100,13/02/2010,-17.95,145.3
20100214,45,30.3,25,20.5,25,0.3,25,5.5,25,22.5,42,26.2,25,60.7,100,14/02/2010,-17.95,145.3
20100215,46,30.7,25,20.8,25,9.2,25,4.3,25,22.1,42,27.2,25,61.6,100,15/02/2010,-17.95,145.3
20100216,47,31.2,25,21.9,25,4.4,25,5.2,25,23,42,27.6,25,60.7,100,16/02/2010,-17.95,145.3
20100217,48,31,25,21.3,25,31.2,25,4.6,25,23.3,42,26.5,25,59,100,17/02/2010,-17.95,145.3
20100218,49,29,25,21.7,25,34.7,25,4.2,25,16,42,28.1,25,70.2,100,18/02/2010,-17.95,145.3
20100219,50,27.6,25,21.4,25,44,25,4.9,25,19.7,42,26.2,25,71,100,19/02/2010,-17.95,145.3
20100220,51,27.9,25,21.5,25,0.8,25,4,25,18.4,42,25.4,25,67.6,99.1,20/02/2010,-17.95,145.3
20100221,52,29.5,25,21.1,25,0.9,25,7,25,24.4,42,24.2,25,58.7,96.8,21/02/2010,-17.95,145.3
20100222,53,27.8,25,20.6,25,3.6,25,3.8,25,10.2,42,25.7,25,68.8,100,22/02/2010,-17.95,145.3
20100223,54,27.8,25,20.5,25,6,25,2.3,25,19,42,26.6,25,71.2,100,23/02/2010,-17.95,145.3
20100224,55,29.5,25,20.7,25,0.6,25,4.5,25,23.3,42,25.9,25,62.8,100,24/02/2010,-17.95,145.3
20100225,56,30.7,25,20,25,0,25,5.9,25,23.8,42,25.5,25,57.7,100,25/02/2010,-17.95,145.3
20100226,57,27.3,25,21.4,25,0,25,3.2,25,17.8,42,25.9,25,71.4,100,26/02/2010,-17.95,145.3
20100227,58,28.2,25,20.4,25,7.7,25,2,25,16.4,42,25.7,25,67.2,100,27/02/2010,-17.95,145.3
20100228,59,29.1,25,21.1,25,6.3,25,2.7,25,18.3,42,26.8,25,66.5,100,28/02/2010,-17.95,145.3
20100301,60,29.8,25,21,25,1.1,25,4.6,25,20.2,42,27.9,25,66.5,100,1/03/2010,-17.95,145.3
20100302,61,29.9,25,21.8,25,1.7,25,3.1,25,13,42,26,25,61.6,99.6,2/03/2010,-17.95,145.3
20100303,62,30.3,25,21.6,25,0.3,25,5.2,25,25.1,42,25.5,25,59.1,98.9,3/03/2010,-17.95,145.3
20100304,63,31,25,20.6,25,0,25,5.7,25,27,42,25.1,25,55.9,100,4/03/2010,-17.95,145.3
20100305,64,31.5,25,19.4,25,0,25,6.5,25,28.2,42,22.3,25,48.2,99,5/03/2010,-17.95,145.3
20100306,65,31.8,25,19.5,25,0,25,5.3,25,25.4,42,22.7,25,48.3,100,6/03/2010,-17.95,145.3
20100307,66,32,25,18.3,25,0,25,6.5,25,27.2,42,20.9,25,44,99.4,7/03/2010,-17.95,145.3
20100308,67,32.1,25,18.2,25,0,25,6.3,25,28.7,42,21.6,25,45.2,100,8/03/2010,-17.95,145.3
20100309,68,30.6,25,19.2,25,0.8,25,5.5,25,17.9,42,23.5,25,53.5,100,9/03/2010,-17.95,145.3
20100310,69,27.6,25,20.6,25,11.6,25,4.4,25,19.7,42,25.4,25,68.8,100,10/03/2010,-17.95,145.3
20100311,70,28.4,25,20.5,25,0,25,5,25,18.3,42,24.9,25,64.4,100,11/03/2010,-17.95,145.3
20100312,71,27,25,20.5,25,2.7,25,6.1,25,18.9,42,22.2,25,62.3,92.1,12/03/2010,-17.95,145.3
20100313,72,26.1,25,19.4,25,3.8,25,4.5,25,20.8,42,22.1,25,65.4,98.2,13/03/2010,-17.95,145.3
20100314,73,26.7,25,19.1,25,15,25,5.8,25,22.5,42,20.1,25,57.4,91,14/03/2010,-17.95,145.3
20100315,74,27.1,25,19.3,25,3.3,25,4.8,25,22.6,42,21.1,25,58.8,94.3,15/03/2010,-17.95,145.3
20100316,75,27.8,25,19.1,25,1.5,25,5.8,25,23.5,42,20.4,25,54.6,92.3,16/03/2010,-17.95,145.3
20100317,76,26.7,25,19.6,25,1.1,25,5.3,25,23.2,42,20.4,25,58.2,89.5,17/03/2010,-17.95,145.3
20100318,77,26.8,25,19.3,25,0.6,25,5.4,25,22.4,42,19.4,25,55.1,86.7,18/03/2010,-17.95,145.3
20100319,78,26.2,25,18.4,25,0.9,25,4.5,25,21.1,42,19.3,25,56.8,91.2,19/03/2010,-17.95,145.3
20100320,79,27.3,25,18.8,25,0.1,25,4.5,25,21.4,42,19,25,52.4,87.6,20/03/2010,-17.95,145.3
20100321,80,29.4,25,19.6,25,0,25,3.8,25,17.7,42,21.8,25,53.2,95.6,21/03/2010,-17.95,145.3
20100322,81,29.6,25,20.5,25,0.8,25,4.5,25,23.5,42,25.4,25,61.3,100,22/03/2010,-17.95,145.3
20100323,82,28,25,20.4,25,9.4,25,4.3,25,18.4,42,23.1,25,61.1,96.4,23/03/2010,-17.95,145.3
20100324,83,27.4,25,20.7,25,5.5,25,4.6,25,18.6,42,21.4,25,58.6,87.7,24/03/2010,-17.95,145.3
20100325,84,27.7,25,19.9,25,0.7,25,5.5,25,14.7,42,21.5,25,57.9,92.6,25/03/2010,-17.95,145.3
20100326,85,25.8,25,20.7,25,8.2,25,3.9,25,10.2,42,23,25,69.3,94.2,26/03/2010,-17.95,145.3
20100327,86,26.7,25,20.3,25,4.1,25,3.9,25,16.2,42,23.3,25,66.5,97.9,27/03/2010,-17.95,145.3
20100328,87,27.7,25,20.5,25,3.6,25,5.2,25,14.3,42,22.9,25,61.7,95,28/03/2010,-17.95,145.3
20100329,88,26.8,25,20.7,25,3.8,25,4.3,25,16.8,42,24.8,25,70.4,100,29/03/2010,-17.95,145.3
20100330,89,26.9,25,20.3,25,1.4,25,4,25,17.1,42,23.7,25,66.9,99.5,30/03/2010,-17.95,145.3
