"index","season_weekly","rain_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
  1,"dry",5.000027e+00,1,0,24.84966,0.074471346,0.060826727,0.014198882,0.312172157
  1,"early_dry",6.269140e+00,4,0,31.48144,0.112219081,0.113025680,0.020985358,0.515205460
  1,"late_dry",4.435901e-01,5,1,29.71090,0.044273922,0.067524056,0.003278518,0.504434445
  1,"late_wet",3.920282e+01,0,0,38.65333,0.211377650,0.095378378,0.080344722,0.451252512
  1,"wet",1.176624e+02,1,1,37.45211,0.068130103,0.063438884,0.011723257,0.335746835
  2,"dry",5.142500e+00,3,0,26.29426,0.072983663,0.077355072,0.010119219,0.425981733
  2,"early_dry",1.549021e+01,4,0,30.10153,0.114775866,0.115829565,0.021207881,0.523049082
  2,"late_dry",1.365695e-01,5,1,32.38110,0.040590844,0.063125449,0.002808479,0.488013212
  2,"late_wet",3.603939e+01,2,1,36.05659,0.237600676,0.185954927,0.045859414,0.688687276
  2,"wet",7.239712e+01,1,0,33.16685,0.084715133,0.047134768,0.027673140,0.233299280
  3,"dry",4.261811e+00,0,0,25.19990,0.072767430,0.055883099,0.015275519,0.284303437
  3,"early_dry",6.034923e+00,1,0,30.90619,0.109904854,0.066380104,0.031837789,0.318296217
  3,"late_dry",1.215086e-02,2,1,31.04904,0.040596414,0.045819582,0.004607010,0.304118244
  3,"late_wet",2.865938e+01,3,0,38.63487,0.223672282,0.160291298,0.055448105,0.613252010
  3,"wet",1.091896e+02,0,0,37.04455,0.067803013,0.040064204,0.021216682,0.198259587
  4,"dry",1.962699e+00,5,0,26.56751,0.075007164,0.103899815,0.008679846,0.541086043
  4,"early_dry",7.937101e+00,4,1,33.31236,0.107613470,0.129373998,0.012017556,0.604341176
  4,"late_dry",4.527598e-01,4,0,30.73046,0.041361589,0.050781909,0.004965162,0.361896855
  4,"late_wet",2.641803e+01,5,0,38.46846,0.230957994,0.227468295,0.048836552,0.680065524
  4,"wet",7.726268e+01,2,1,35.38388,0.080643361,0.074053316,0.013960371,0.385396915
  5,"dry",5.131542e+00,5,0,26.73325,0.074053539,0.102920332,0.008527880,0.538526745
  5,"early_dry",4.971018e+00,5,1,30.87669,0.118410730,0.156737110,0.012701824,0.666788798
  5,"late_dry",1.756587e-01,2,0,30.31550,0.040764672,0.037975643,0.006538476,0.225044383
  5,"late_wet",3.292988e+01,4,1,38.13594,0.230979996,0.232051663,0.032395027,0.756853902
  5,"wet",8.733014e+01,1,1,34.47103,0.080093984,0.066920319,0.016840432,0.345593319
  6,"dry",3.050953e+00,2,0,24.15143,0.077630086,0.071587714,0.012472955,0.376075411
  6,"early_dry",1.784934e+01,3,1,32.98116,0.104890890,0.112030984,0.013485680,0.540649685
  6,"late_dry",3.316892e-01,5,0,32.07811,0.040222135,0.057109489,0.004318744,0.427077890
  6,"late_wet",5.422875e+01,3,0,37.63605,0.218304694,0.159330187,0.052845440,0.608788932
  6,"wet",6.868139e+01,4,0,34.74538,0.084637135,0.084556410,0.017678787,0.437403123
  7,"dry",7.025196e+00,4,0,25.54358,0.075491300,0.091496840,0.009427258,0.497557464
  7,"early_dry",4.402439e+00,3,0,33.10557,0.105797744,0.091508333,0.021539363,0.438841277
  7,"late_dry",2.868738e-01,0,0,30.17350,0.039821659,0.032175132,0.007910279,0.177450328
  7,"late_wet",3.974035e+01,0,0,36.54973,0.223771315,0.100985103,0.084836196,0.472535668
  7,"wet",9.854570e+01,3,0,36.04107,0.074832960,0.066973669,0.015199167,0.352237357
  8,"dry",6.668831e+00,1,0,26.59463,0.070050854,0.057238100,0.013384039,0.296851668
  8,"early_dry",1.828627e+01,5,0,31.52662,0.110549120,0.130703455,0.019124306,0.553501710
  8,"late_dry",1.976334e-01,0,1,29.89360,0.041052522,0.043082285,0.005732349,0.279585791
  8,"late_wet",3.941828e+01,0,1,36.05252,0.230950431,0.160674852,0.058457147,0.620908227
  8,"wet",1.152469e+02,5,0,32.89143,0.082271622,0.102561524,0.013723578,0.501504301
  9,"dry",1.156489e+01,0,0,25.61089,0.070509989,0.054144892,0.014818045,0.276831651
  9,"early_dry",8.193730e+00,5,1,30.50371,0.118968170,0.157547572,0.012716955,0.668466955
  9,"late_dry",9.758333e-02,4,0,29.45968,0.043180085,0.052632125,0.005243944,0.370061484
  9,"late_wet",4.759483e+01,4,1,37.54074,0.228123702,0.231499759,0.031296723,0.755076301
