"index","season_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
  1,"dry",1,1,24.80940,0.15310745,0.08704308,0.05234033,0.39942690
  1,"early_dry",3,0,32.51924,0.26602935,0.15279607,0.08945705,0.55358802
  1,"late_dry",1,1,31.99820,0.28016614,0.14777339,0.09675684,0.61718448
  1,"late_wet",4,0,36.11304,0.28156144,0.20732599,0.06546285,0.64581015
  1,"wet",5,0,33.65228,0.22130947,0.21389231,0.04247251,0.60128038
  2,"dry",4,1,25.73331,0.19871913,0.15232733,0.03975500,0.58624599
  2,"early_dry",1,0,32.14139,0.22187024,0.06973160,0.11855027,0.37616166
  2,"late_dry",5,0,32.10445,0.42517159,0.28129252,0.09590652,0.75974115
  2,"late_wet",0,1,37.65353,0.15749837,0.10161495,0.04945029,0.46362411
  2,"wet",0,0,33.63922,0.12728821,0.03681098,0.07081059,0.21823177
  3,"dry",2,0,24.48213,0.19409644,0.09941296,0.06943529,0.43849507
  3,"early_dry",2,0,29.50355,0.27299630,0.10994614,0.12159126,0.50324570
  3,"late_dry",3,0,30.63475,0.38569158,0.18507855,0.13529355,0.68971714
  3,"late_wet",4,0,37.84298,0.26346926,0.20246327,0.05899126,0.62591677
  3,"wet",5,0,32.78656,0.22900168,0.21733174,0.04461313,0.61079031
  4,"dry",5,0,26.48215,0.24541682,0.23174522,0.04266982,0.63358003
  4,"early_dry",5,1,32.22649,0.28853281,0.24018825,0.04387975,0.74937807
  4,"late_dry",3,1,31.47976,0.33834640,0.19520948,0.09042042,0.73010545
  4,"late_wet",4,1,38.82781,0.22217756,0.18234776,0.03772465,0.66336094
  4,"wet",3,1,34.98421,0.14460990,0.10582293,0.03295809,0.46204565
  5,"dry",5,1,26.46573,0.21407112,0.19159982,0.03276730,0.65335147
  5,"early_dry",2,1,32.85877,0.20976942,0.12524124,0.06300839,0.53569346
  5,"late_dry",2,1,30.62594,0.32220416,0.17031685,0.10281031,0.68151196
  5,"late_wet",3,0,38.46603,0.23219817,0.15129517,0.06495363,0.54735672
  5,"wet",2,0,33.70722,0.15765146,0.07630230,0.06321005,0.34600438
  6,"dry",0,0,25.39870,0.15119543,0.05773048,0.06884036,0.30055805
  6,"early_dry",5,0,31.11688,0.33671505,0.26261677,0.07561751,0.68694714
  6,"late_dry",5,1,32.47834,0.38340660,0.27460138,0.06530412,0.82027685
  6,"late_wet",2,0,37.88463,0.21445185,0.10987405,0.07696409,0.46656884
  6,"wet",2,0,36.30194,0.13992739,0.07352496,0.05320428,0.32130710
  7,"dry",3,0,26.25210,0.19992688,0.13291396,0.05619067,0.49845701
