"index","season_weekly","rain_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
  1,"dry",5.000027e+00,1,0,24.84966,0.09636306,0.04946052,0.03392064,0.24473744
  1,"early_dry",6.269140e+00,4,0,31.48144,0.14633580,0.06607596,0.06425400,0.30883843
  1,"late_dry",4.435901e-01,5,1,29.71090,0.28914957,0.12994103,0.12468788,0.54805257
  1,"late_wet",3.920282e+01,0,0,38.65333,0.10012570,0.03900033,0.04571631,0.20561249
  1,"wet",1.176624e+02,1,1,37.45211,0.10688075,0.05364093,0.04496166,0.25863453
  2,"dry",5.142500e+00,3,0,26.29426,0.09463147,0.05425971,0.03051321,0.25940572
  2,"early_dry",1.549021e+01,4,0,30.10153,0.15459743,0.06788162,0.06869005,0.32217933
  2,"late_dry",1.365695e-01,5,1,32.38110,0.26489069,0.12841236,0.10910808,0.51683465
  2,"late_wet",3.603939e+01,2,1,36.05659,0.11599993,0.05955815,0.04436862,0.29785515
  2,"wet",7.239712e+01,1,0,33.16685,0.12494348,0.04116679,0.06435789,0.22878984
  3,"dry",4.261811e+00,0,0,25.19990,0.09316692,0.04773776,0.03287793,0.23701568
  3,"early_dry",6.034923e+00,1,0,30.90619,0.14058488,0.04610295,0.07232892,0.25578925
  3,"late_dry",1.215086e-02,2,1,31.04904,0.26305661,0.09723030,0.12860000,0.48129640
  3,"late_wet",2.865938e+01,3,0,38.63487,0.10645152,0.05066800,0.04296685,0.24512223
  3,"wet",1.091896e+02,0,0,37.04455,0.10598627,0.03845333,0.05305248,0.20089196
  4,"dry",1.962699e+00,5,0,26.56751,0.09837042,0.06648011,0.02835503,0.29651376
  4,"early_dry",7.937101e+00,4,1,33.31236,0.13698784,0.08062758,0.04960759,0.35105871
  4,"late_dry",4.527598e-01,4,0,30.73046,0.27482151,0.09549232,0.13844709,0.46986686
  4,"late_wet",2.641803e+01,5,0,38.46846,0.11256162,0.06576872,0.04095430,0.28732509
  4,"wet",7.726268e+01,2,1,35.38388,0.11662175,0.05566078,0.04947788,0.27845470
  5,"dry",5.131542e+00,5,0,26.73325,0.09784872,0.06638151,0.02812963,0.29554451
  5,"early_dry",4.971018e+00,5,1,30.87669,0.15315938,0.09030872,0.05594218,0.38670162
  5,"late_dry",1.756587e-01,2,0,30.31550,0.26978445,0.07696082,0.14869107,0.43896460
  5,"late_wet",3.292988e+01,4,1,38.13594,0.11133557,0.06841536,0.03740598,0.31918607
  5,"wet",8.733014e+01,1,1,34.47103,0.11886835,0.05137771,0.05414141,0.26976419
  6,"dry",3.050953e+00,2,0,24.15143,0.10121734,0.05372409,0.03458835,0.26201857
  6,"early_dry",1.784934e+01,3,1,32.98116,0.13577956,0.07208166,0.05295407,0.33206408
  6,"late_dry",3.316892e-01,5,0,32.07811,0.26746624,0.10649921,0.12709748,0.46805469
  6,"late_wet",5.422875e+01,3,0,37.63605,0.11154058,0.05175855,0.04552127,0.25389675
  6,"wet",6.868139e+01,4,0,34.74538,0.12476579,0.05743438,0.05465675,0.27245812
  7,"dry",7.025196e+00,4,0,25.54358,0.09991210,0.06083981,0.03082571,0.28477845
  7,"early_dry",4.402439e+00,3,0,33.10557,0.13460536,0.05773296,0.06074462,0.27659452
  7,"late_dry",2.868738e-01,0,0,30.17350,0.26310147,0.06873113,0.15219386,0.41514830
  7,"late_wet",3.974035e+01,0,0,36.54973,0.10951598,0.04238199,0.05010795,0.22289954
  7,"wet",9.854570e+01,3,0,36.04107,0.11704088,0.05058079,0.05275199,0.24552485
  8,"dry",6.668831e+00,1,0,26.59463,0.08953711,0.04673071,0.03121275,0.23079983
  8,"early_dry",1.828627e+01,5,0,31.52662,0.15003247,0.07569881,0.06294963,0.32742253
  8,"late_dry",1.976334e-01,0,1,29.89360,0.26579289,0.09141831,0.13762604,0.47058609
  8,"late_wet",3.941828e+01,0,1,36.05252,0.11195054,0.05426201,0.04557900,0.27724768
  8,"wet",1.152469e+02,5,0,32.89143,0.13892651,0.06833397,0.05945621,0.31018567
  9,"dry",1.156489e+01,0,0,25.61089,0.09171634,0.04704863,0.03232021,0.23396029
  9,"early_dry",8.193730e+00,5,1,30.50371,0.15543383,0.09071011,0.05716707,0.39037235
  9,"late_dry",9.758333e-02,4,0,29.45968,0.28680106,0.09881102,0.14491257,0.48745266
  9,"late_wet",4.759483e+01,4,1,37.54074,0.11440297,0.06906120,0.03890849,0.32461733
  9,"wet",1.054019e+02,0,1,34.18768,0.11871318,0.04993928,0.05524076,0.26591282
 10,"dry",4.863666e+00,2,0,25.33733,0.09626019,0.05126585,0.03282065,0.25094304
 10,"early_dry",9.079827e+00,3,1,29.14224,0.15705518,0.07621970,0.06431244,0.36616627
 10,"late_dry",2.251938e-01,3,0,29.46531,0.28222225,0.08859505,0.14868293,0.47038607
 10,"late_wet",4.514604e+01,0,0,37.67418,0.10450494,0.04018168,0.04792442,0.21310727
 10,"wet",1.643432e+01,5,0,35.91128,0.12081593,0.06724131,0.04757305,0.28699608
 11,"dry",6.233323e+00,2,1,26.78046,0.09077309,0.05542944,0.02787710,0.27141988
 11,"early_dry",1.432552e+01,0,1,33.21332,0.12625626,0.05665239,0.05663744,0.28549741
 11,"late_dry",3.311561e-01,2,0,30.60874,0.26706537,0.07629314,0.14710860,0.43515741
 11,"late_wet",2.649112e+01,1,0,37.33012,0.10745333,0.04247992,0.04833792,0.22207954
 11,"wet",8.412788e+00,4,1,34.07480,0.12610168,0.07096303,0.04738488,0.32965468
 12,"dry",1.991096e+00,2,0,25.32787,0.09621861,0.05125827,0.03280081,0.25087740
