"dt","site","n_detections_per_site_date_time","sp","source"
"20230701T170000+1000","site-e",2,"pig","recogniser"
"20230723T160000+1000","site-e",1,"pig","recogniser"
"20230812T140000+1000","site-a",1,"pig","recogniser"
"20230814T200000+1000","site-h",1,"pig","recogniser"
"20230818T180000+1000","site-e",163,"pig","recogniser"
"20230820T180000+1000","site-h",1,"pig","recogniser"
"20230825T060000+1000","site-d",1,"pig","recogniser"
"20230828T190000+1000","site-c",1,"pig","recogniser"
"20230901T200000+1000","site-d",1,"pig","recogniser"
"20230904T151426+1000","site-a",1,"pig","recogniser"
"20230904T160000+1000","site-a",1,"pig","recogniser"
"20230904T180000+1000","site-d",2,"pig","recogniser"
"20230906T180000+1000","site-d",5,"pig","recogniser"
"20230906T220000+1000","site-d",1,"pig","recogniser"
"20230907T180000+1000","site-a",1,"pig","recogniser"
"20230908T220000+1000","site-c",1,"pig","recogniser"
"20230916T050000+1000","site-a",4,"pig","recogniser"
"20230916T190000+1000","site-a",1,"pig","recogniser"
"20230925T190000+1000","site-e",4,"pig","recogniser"
"20230925T200000+1000","site-e",5,"pig","recogniser"
"20230925T220000+1000","site-e",1,"pig","recogniser"
"20230926T070000+1000","site-e",3,"pig","recogniser"
"20230926T080000+1000","site-e",20,"pig","recogniser"
"20230926T090000+1000","site-e",3,"pig","recogniser"
"20230926T100000+1000","site-e",1,"pig","recogniser"
"20230927T000000+1000","site-c",1,"pig","recogniser"
"20230930T190000+1000","site-d",3,"pig","recogniser"
"20231001T180000+1000","site-a",9,"pig","recogniser"
"20231001T220000+1000","site-a",11,"pig","recogniser"
"20231004T020000+1000","site-a",1,"pig","recogniser"
"20231005T070000+1000","site-i",1,"pig","recogniser"
"20231007T190000+1000","site-e",2,"pig","recogniser"
"20231010T190000+1000","site-e",1,"pig","recogniser"
"20231011T000000+1000","site-i",167,"pig","recogniser"
"20231011T010000+1000","site-i",5,"pig","recogniser"
"20231015T230000+1000","site-a",50,"pig","recogniser"
"20231016T000000+1000","site-a",55,"pig","recogniser"
"20231016T010000+1000","site-a",133,"pig","recogniser"
"20231016T020000+1000","site-a",341,"pig","recogniser"
"20231017T020000+1000","site-a",1,"pig","recogniser"
"20231017T210000+1000","site-e",1,"pig","recogniser"
"20231018T040000+1000","site-a",9,"pig","recogniser"
