"dt","site","n_detections_per_site_date_time","sp","source"
"20230701T170000+1000","site-e",2,"pig","recogniser"
"20230723T160000+1000","site-e",1,"pig","recogniser"
"20230818T180000+1000","site-e",41,"pig","recogniser"
"20230820T180000+1000","site-h",1,"pig","recogniser"
"20230901T200000+1000","site-d",1,"pig","recogniser"
"20230925T190000+1000","site-e",1,"pig","recogniser"
"20230926T080000+1000","site-e",4,"pig","recogniser"
"20230926T090000+1000","site-e",1,"pig","recogniser"
"20230930T190000+1000","site-d",1,"pig","recogniser"
"20231007T190000+1000","site-e",1,"pig","recogniser"
"20231011T000000+1000","site-i",34,"pig","recogniser"
"20231011T010000+1000","site-i",1,"pig","recogniser"
"20231015T230000+1000","site-a",9,"pig","recogniser"
"20231016T000000+1000","site-a",7,"pig","recogniser"
"20231016T010000+1000","site-a",21,"pig","recogniser"
"20231016T020000+1000","site-a",49,"pig","recogniser"
"20231018T040000+1000","site-a",1,"pig","recogniser"
"20231019T030000+1000","site-a",2,"pig","recogniser"
"20231019T190000+1000","site-a",11,"pig","recogniser"
"20231019T200000+1000","site-a",106,"pig","recogniser"
"20231025T180000+1000","site-a",1,"pig","recogniser"
"20231027T190000+1000","site-d",2,"pig","recogniser"
"20231102T040000+1000","site-a",1,"pig","recogniser"
"20231106T100000+1000","site-i",1,"pig","recogniser"
"20231106T230000+1000","site-a",1,"pig","recogniser"
"20231108T140000+1000","site-a",1,"pig","recogniser"
"20231111T030000+1000","site-a",13,"pig","recogniser"
"20231111T040000+1000","site-a",1,"pig","recogniser"
"20231111T210000+1000","site-a",2,"pig","recogniser"
"20231112T010000+1000","site-a",7,"pig","recogniser"
"20231112T030000+1000","site-a",7,"pig","recogniser"
"20231112T220000+1000","site-a",13,"pig","recogniser"
"20231114T030000+1000","site-a",7,"pig","recogniser"
"20231114T060000+1000","site-a",7,"pig","recogniser"
"20231114T070000+1000","site-a",1,"pig","recogniser"
"20231115T020000+1000","site-a",1,"pig","recogniser"
"20231116T000000+1000","site-a",2,"pig","recogniser"
"20231116T010000+1000","site-a",1,"pig","recogniser"
"20231116T020000+1000","site-a",1,"pig","recogniser"
"20231116T030000+1000","site-a",20,"pig","recogniser"
"20231116T040000+1000","site-a",2,"pig","recogniser"
"20231117T030000+1000","site-a",5,"pig","recogniser"
"20231117T230000+1000","site-a",10,"pig","recogniser"
"20231118T040000+1000","site-a",11,"pig","recogniser"
"20231120T010000+1000","site-a",2,"pig","recogniser"
"20231120T020000+1000","site-a",11,"pig","recogniser"
"20231121T230000+1000","site-a",5,"pig","recogniser"
"20231122T020000+1000","site-a",40,"pig","recogniser"
"20231122T030000+1000","site-a",54,"pig","recogniser"
"20231122T220000+1000","site-a",2,"pig","recogniser"
"20231123T040000+1000","site-a",7,"pig","recogniser"
"20231123T050000+1000","site-a",10,"pig","recogniser"
"20231123T060000+1000","site-a",19,"pig","recogniser"
"20231123T230000+1000","site-a",2,"pig","recogniser"
"20231124T000000+1000","site-a",13,"pig","recogniser"
"20231124T010000+1000","site-a",5,"pig","recogniser"
"20231124T020000+1000","site-a",11,"pig","recogniser"
"20231124T030000+1000","site-a",4,"pig","recogniser"
"20231124T210000+1000","site-a",1,"pig","recogniser"
"20231126T070000+1000","site-h",1,"pig","recogniser"
"20231128T010000+1000","site-a",1,"pig","recogniser"
"20231203T050000+1000","site-d",10,"pig","recogniser"
"20231203T060000+1000","site-d",2,"pig","recogniser"
"20240511T120000+1000","site-h",2,"pig","recogniser"
"20240519T130000+1000","site-e",5,"pig","recogniser"
